Hugo_Symbol	Amp	Del	total	AlteredSamples
RN7SL590P	231	0	231	231
RN7SL826P	231	0	231	231
RNA5SP276	231	0	231	231
RNA5SP277	231	0	231	231
RNF139	231	0	231	231
RNY4P5	231	0	231	231
SAMD12	231	0	231	231
SLA	231	0	231	231
SLC30A8	231	0	231	231
SNTB1	231	0	231	231
SQLE	231	0	231	231
ST3GAL1	231	0	231	231
TAF2	231	0	231	231
TATDN1	231	0	231	231
TBC1D31	231	0	231	231
TG	231	0	231	231
TMEM65	231	0	231	231
TMEM71	231	0	231	231
TMEM75	231	0	231	231
TNFRSF11B	231	0	231	231
TRIB1	231	0	231	231
TRMT12	231	0	231	231
TRPS1	231	0	231	231
UTP23	231	0	231	231
WDYHV1	231	0	231	231
WISP1	231	0	231	231
ZFAT	231	0	231	231
ZHX1	231	0	231	231
ZHX2	231	0	231	231
ZNF572	231	0	231	231
ABR	0	226	226	226
ACADVL	0	226	226	226
ACAP1	0	226	226	226
ACKR6	0	226	226	226
AIPL1	0	226	226	226
ALOX12	0	226	226	226
ALOX12B	0	226	226	226
ALOX12P2	0	226	226	226
ALOX15	0	226	226	226
ALOX15B	0	226	226	226
ALOXE3	0	226	226	226
ANKFY1	0	226	226	226
ARHGEF15	0	226	226	226
ARRB2	0	226	226	226
ASGR1	0	226	226	226
ASGR2	0	226	226	226
ASPA	0	226	226	226
ATP1B2	0	226	226	226
ATP2A3	0	226	226	226
AURKB	0	226	226	226
BCL6B	0	226	226	226
BHLHA9	0	226	226	226
C17orf100	0	226	226	226
C17orf107	0	226	226	226
C17orf49	0	226	226	226
C17orf59	0	226	226	226
C17orf74	0	226	226	226
C17orf85	0	226	226	226
C17orf97	0	226	226	226
C1QBP	0	226	226	226
CAMKK1	0	226	226	226
CAMTA2	0	226	226	226
CCDC42	0	226	226	226
CD68	0	226	226	226
CHD3	0	226	226	226
CHRNB1	0	226	226	226
CHRNE	0	226	226	226
CLDN7	0	226	226	226
CLEC10A	0	226	226	226
CLUH	0	226	226	226
CNTROB	0	226	226	226
CRK	0	226	226	226
CTC1	0	226	226	226
CTDNEP1	0	226	226	226
CTNS	0	226	226	226
CXCL16	0	226	226	226
CYB5D1	0	226	226	226
CYB5D2	0	226	226	226
DBIL5P	0	226	226	226
DERL2	0	226	226	226
DHRS7C	0	226	226	226
DHX33	0	226	226	226
DLG4	0	226	226	226
DNAH2	0	226	226	226
DOC2B	0	226	226	226
DPH1	0	226	226	226
DVL2	0	226	226	226
EFNB3	0	226	226	226
EIF4A1	0	226	226	226
EIF5A	0	226	226	226
ELP5	0	226	226	226
EMC6	0	226	226	226
ENO3	0	226	226	226
FAM101B	0	226	226	226
FAM57A	0	226	226	226
FAM64A	0	226	226	226
FBXO39	0	226	226	226
FGF11	0	226	226	226
FXR2	0	226	226	226
GABARAP	0	226	226	226
GAS7	0	226	226	226
GEMIN4	0	226	226	226
GGT6	0	226	226	226
GLOD4	0	226	226	226
GLP2R	0	226	226	226
GLTPD2	0	226	226	226
GP1BA	0	226	226	226
GPS2	0	226	226	226
GSG2	0	226	226	226
GUCY2D	0	226	226	226
HES7	0	226	226	226
HIC1	0	226	226	226
INCA1	0	226	226	226
INPP5K	0	226	226	226
ITGAE	0	226	226	226
KCNAB3	0	226	226	226
KCTD11	0	226	226	226
KDM6B	0	226	226	226
KIAA0753	0	226	226	226
KIF1C	0	226	226	226
KRBA2	0	226	226	226
LINC00324	0	226	226	226
LSMD1	0	226	226	226
MED11	0	226	226	226
MED31	0	226	226	226
METTL16	0	226	226	226
MFSD6L	0	226	226	226
MINK1	0	226	226	226
MIR1253	0	226	226	226
MIR132	0	226	226	226
MIR212	0	226	226	226
MIR22HG	0	226	226	226
MIR3183	0	226	226	226
MIR324	0	226	226	226
MIR3676	0	226	226	226
MIR4314	0	226	226	226
MIR4520B	0	226	226	226
MIR497HG	0	226	226	226
MIS12	0	226	226	226
MNT	0	226	226	226
MPDU1	0	226	226	226
MYBBP1A	0	226	226	226
MYH10	0	226	226	226
MYH13	0	226	226	226
MYH8	0	226	226	226
MYO1C	0	226	226	226
NDEL1	0	226	226	226
NEURL4	0	226	226	226
NLGN2	0	226	226	226
NLRP1	0	226	226	226
NTN1	0	226	226	226
NUP88	0	226	226	226
NXN	0	226	226	226
ODF4	0	226	226	226
OR1A1	0	226	226	226
OR1A2	0	226	226	226
OR1D2	0	226	226	226
OR1D4	0	226	226	226
OR1D5	0	226	226	226
OR1E1	0	226	226	226
OR1E2	0	226	226	226
OR1G1	0	226	226	226
OR3A1	0	226	226	226
OR3A2	0	226	226	226
OR3A3	0	226	226	226
OR3A4P	0	226	226	226
OVCA2	0	226	226	226
P2RX1	0	226	226	226
P2RX5	0	226	226	226
PAFAH1B1	0	226	226	226
PELP1	0	226	226	226
PER1	0	226	226	226
PFAS	0	226	226	226
PFN1	0	226	226	226
PHF23	0	226	226	226
PIK3R5	0	226	226	226
PIK3R6	0	226	226	226
PITPNA	0	226	226	226
PLD2	0	226	226	226
PLSCR3	0	226	226	226
POLR2A	0	226	226	226
PRPF8	0	226	226	226
PSMB6	0	226	226	226
RABEP1	0	226	226	226
RANGRF	0	226	226	226
RAP1GAP2	0	226	226	226
RCVRN	0	226	226	226
RILP	0	226	226	226
RN7SL105P	0	226	226	226
RN7SL129P	0	226	226	226
RN7SL171P	0	226	226	226
RN7SL33P	0	226	226	226
RN7SL605P	0	226	226	226
RN7SL608P	0	226	226	226
RN7SL624P	0	226	226	226
RN7SL774P	0	226	226	226
RN7SL784P	0	226	226	226
RNA5SP434	0	226	226	226
RNA5SP435	0	226	226	226
RNASEK	0	226	226	226
RNF167	0	226	226	226
RNF222	0	226	226	226
RNMTL1	0	226	226	226
RPA1	0	226	226	226
RPAIN	0	226	226	226
RPH3AL	0	226	226	226
RPL26	0	226	226	226
RPL29P2	0	226	226	226
RTN4RL1	0	226	226	226
SAT2	0	226	226	226
SCARF1	0	226	226	226
SCIMP	0	226	226	226
SENP3	0	226	226	226
SERPINF1	0	226	226	226
SERPINF2	0	226	226	226
SGSM2	0	226	226	226
SHBG	0	226	226	226
SLC13A5	0	226	226	226
SLC16A11	0	226	226	226
SLC16A13	0	226	226	226
SLC25A11	0	226	226	226
SLC25A35	0	226	226	226
SLC2A4	0	226	226	226
SLC35G6	0	226	226	226
SLC43A2	0	226	226	226
SLC52A1	0	226	226	226
SMG6	0	226	226	226
SMTNL2	0	226	226	226
SMYD4	0	226	226	226
SNORD10	0	226	226	226
SNORD118	0	226	226	226
SNORD91A	0	226	226	226
SNORD91B	0	226	226	226
SOX15	0	226	226	226
SPAG7	0	226	226	226
SPATA22	0	226	226	226
SPDYE4	0	226	226	226
SPEM1	0	226	226	226
SPNS2	0	226	226	226
SPNS3	0	226	226	226
SRR	0	226	226	226
STX8	0	226	226	226
TAX1BP3	0	226	226	226
TEKT1	0	226	226	226
TIMM22	0	226	226	226
TLCD2	0	226	226	226
TM4SF5	0	226	226	226
TMEM102	0	226	226	226
TMEM107	0	226	226	226
TMEM256	0	226	226	226
TMEM88	0	226	226	226
TMEM95	0	226	226	226
TNFSF12	0	226	226	226
TNFSF13	0	226	226	226
TNK1	0	226	226	226
TP53	0	226	226	226
TRAPPC1	0	226	226	226
TRPV1	0	226	226	226
TRPV3	0	226	226	226
TSR1	0	226	226	226
TUSC5	0	226	226	226
TXNDC17	0	226	226	226
UBE2G1	0	226	226	226
USP43	0	226	226	226
USP6	0	226	226	226
VAMP2	0	226	226	226
VMO1	0	226	226	226
VPS53	0	226	226	226
WDR16	0	226	226	226
WDR81	0	226	226	226
WRAP53	0	226	226	226
WSCD1	0	226	226	226
XAF1	0	226	226	226
YBX2	0	226	226	226
YWHAE	0	226	226	226
ZBTB4	0	226	226	226
ZFP3	0	226	226	226
ZMYND15	0	226	226	226
ZNF232	0	226	226	226
ZNF594	0	226	226	226
ZZEF1	0	226	226	226
MIR1288	0	195	195	195
NCOR1	0	195	195	195
RN7SL442P	0	195	195	195
IER3IP1	0	188	188	94
ALG9	0	186	186	93
MFRP	0	186	186	93
SDHD	0	186	186	93
LPAR6	0	179	179	179
RB1	0	179	179	179
UQCR11	0	174	174	87
ADH1A	0	173	173	173
ADH1B	0	173	173	173
ADH1C	0	173	173	173
ADH4	0	173	173	173
ADH5	0	173	173	173
ADH6	0	173	173	173
ADH7	0	173	173	173
AIMP1	0	173	173	173
ALPK1	0	173	173	173
ANK2	0	173	173	173
AP1AR	0	173	173	173
ARHGEF38	0	173	173	173
ARSJ	0	173	173	173
BANK1	0	173	173	173
BDH2	0	173	173	173
BMPR1B	0	173	173	173
C4orf17	0	173	173	173
C4orf21	0	173	173	173
C4orf32	0	173	173	173
CAMK2D	0	173	173	173
CASP6	0	173	173	173
CCDC109B	0	173	173	173
CENPE	0	173	173	173
CFI	0	173	173	173
CISD2	0	173	173	173
COL25A1	0	173	173	173
CXXC4	0	173	173	173
CYP2U1	0	173	173	173
DAPP1	0	173	173	173
DDIT4L	0	173	173	173
DKK2	0	173	173	173
DNAJB14	0	173	173	173
EGF	0	173	173	173
EIF4E	0	173	173	173
ELOVL6	0	173	173	173
EMCN	0	173	173	173
ENPEP	0	173	173	173
ETNPPL	0	173	173	173
GAR1	0	173	173	173
GIMD1	0	173	173	173
GSTCD	0	173	173	173
H2AFZ	0	173	173	173
HADH	0	173	173	173
INTS12	0	173	173	173
LAMTOR3	0	173	173	173
LARP7	0	173	173	173
LEF1	0	173	173	173
LRIT3	0	173	173	173
MANBA	0	173	173	173
METAP1	0	173	173	173
MIR1255A	0	173	173	173
MIR297	0	173	173	173
MIR302A	0	173	173	173
MIR302B	0	173	173	173
MIR302C	0	173	173	173
MIR302D	0	173	173	173
MIR367	0	173	173	173
MIR3684	0	173	173	173
MIR576	0	173	173	173
MTTP	0	173	173	173
NEUROG2	0	173	173	173
NFKB1	0	173	173	173
NPNT	0	173	173	173
OSTC	0	173	173	173
PAPSS1	0	173	173	173
PCNAP1	0	173	173	173
PDHA2	0	173	173	173
PDLIM5	0	173	173	173
PITX2	0	173	173	173
PLA2G12A	0	173	173	173
PPA2	0	173	173	173
PPP3CA	0	173	173	173
RAP1GDS1	0	173	173	173
RN7SKP28	0	173	173	173
RN7SL184P	0	173	173	173
RN7SL275P	0	173	173	173
RN7SL55P	0	173	173	173
RN7SL728P	0	173	173	173
RN7SL89P	0	173	173	173
RPL34	0	173	173	173
RRH	0	173	173	173
SEC24B	0	173	173	173
SGMS2	0	173	173	173
SLC39A8	0	173	173	173
SLC9B1	0	173	173	173
SLC9B2	0	173	173	173
STPG2	0	173	173	173
TACR3	0	173	173	173
TBCK	0	173	173	173
TET2	0	173	173	173
TIFA	0	173	173	173
TRMT10A	0	173	173	173
TSPAN5	0	173	173	173
UBE2D3	0	173	173	173
UNC5C	0	173	173	173
CASP3	0	172	172	172
CCDC111	0	172	172	172
IRF2	0	172	172	172
MLF1IP	0	172	172	172
SNORD79	0	172	172	172
ADAMTS3	0	171	171	171
AFM	0	171	171	171
AFP	0	171	171	171
AGPAT9	0	171	171	171
ALB	0	171	171	171
AMBN	0	171	171	171
AMTN	0	171	171	171
ANKRD17	0	171	171	171
ANTXR2	0	171	171	171
ANXA3	0	171	171	171
AREG	0	171	171	171
AREGB	0	171	171	171
ARHGAP24	0	171	171	171
ART3	0	171	171	171
BMP2K	0	171	171	171
BMP3	0	171	171	171
BTC	0	171	171	171
C4orf22	0	171	171	171
C4orf26	0	171	171	171
C4orf36	0	171	171	171
C4orf40	0	171	171	171
CABS1	0	171	171	171
CCDC158	0	171	171	171
CCNG2	0	171	171	171
CCNI	0	171	171	171
CDKL2	0	171	171	171
CDS1	0	171	171	171
CENPC	0	171	171	171
CNOT6L	0	171	171	171
COPS4	0	171	171	171
COQ2	0	171	171	171
COX18	0	171	171	171
CSN1S1	0	171	171	171
CSN1S2AP	0	171	171	171
CSN2	0	171	171	171
CSN3	0	171	171	171
CXCL1	0	171	171	171
CXCL10	0	171	171	171
CXCL11	0	171	171	171
CXCL13	0	171	171	171
CXCL2	0	171	171	171
CXCL3	0	171	171	171
CXCL5	0	171	171	171
CXCL6	0	171	171	171
CXCL9	0	171	171	171
DCK	0	171	171	171
ENAM	0	171	171	171
ENOPH1	0	171	171	171
EPGN	0	171	171	171
EREG	0	171	171	171
FAM175A	0	171	171	171
FDCSP	0	171	171	171
FGF5	0	171	171	171
FRAS1	0	171	171	171
FTLP10	0	171	171	171
G3BP2	0	171	171	171
GC	0	171	171	171
GK2	0	171	171	171
GNRHR	0	171	171	171
GRSF1	0	171	171	171
HELQ	0	171	171	171
HNRNPD	0	171	171	171
HNRNPDL	0	171	171	171
HPSE	0	171	171	171
HTN1	0	171	171	171
HTN3	0	171	171	171
IGJ	0	171	171	171
IL8	0	171	171	171
LIN54	0	171	171	171
LINC00575	0	171	171	171
LINC00989	0	171	171	171
MAPK10	0	171	171	171
MIR1269A	0	171	171	171
MIR4450	0	171	171	171
MIR4451	0	171	171	171
MIR4452	0	171	171	171
MIR5096	0	171	171	171
MIR548AH	0	171	171	171
MIR575	0	171	171	171
MOB1B	0	171	171	171
MRPL1	0	171	171	171
MRPS18C	0	171	171	171
MTHFD2L	0	171	171	171
MUC7	0	171	171	171
NAA11	0	171	171	171
NAAA	0	171	171	171
NPFFR2	0	171	171	171
NUP54	0	171	171	171
ODAM	0	171	171	171
OR7E94P	0	171	171	171
PAQR3	0	171	171	171
PARM1	0	171	171	171
PCAT4	0	171	171	171
PF4	0	171	171	171
PF4V1	0	171	171	171
PLAC8	0	171	171	171
PPBP	0	171	171	171
PPBPP2	0	171	171	171
PPEF2	0	171	171	171
PRDM8	0	171	171	171
PRKG2	0	171	171	171
PROL1	0	171	171	171
PTPN13	0	171	171	171
RASGEF1B	0	171	171	171
RASSF6	0	171	171	171
RCHY1	0	171	171	171
RN7SKP48	0	171	171	171
RN7SKP96	0	171	171	171
RN7SL127P	0	171	171	171
RN7SL218P	0	171	171	171
RN7SL552P	0	171	171	171
RNA5SP163	0	171	171	171
RNU4ATAC9P	0	171	171	171
RNU6ATAC5P	0	171	171	171
RUFY3	0	171	171	171
SCARB2	0	171	171	171
SCD5	0	171	171	171
SDAD1	0	171	171	171
SEC31A	0	171	171	171
SEPT11	0	171	171	171
SHROOM3	0	171	171	171
SLC10A6	0	171	171	171
SLC4A4	0	171	171	171
SMR3A	0	171	171	171
SMR3B	0	171	171	171
SOWAHB	0	171	171	171
STAP1	0	171	171	171
STATH	0	171	171	171
SULT1B1	0	171	171	171
SULT1E1	0	171	171	171
THAP6	0	171	171	171
THAP9	0	171	171	171
TMEM150C	0	171	171	171
TMPRSS11A	0	171	171	171
TMPRSS11B	0	171	171	171
TMPRSS11BNL	0	171	171	171
TMPRSS11D	0	171	171	171
TMPRSS11E	0	171	171	171
TMPRSS11F	0	171	171	171
TMPRSS11GP	0	171	171	171
UBA6	0	171	171	171
UGT2A2	0	171	171	171
UGT2A3	0	171	171	171
UGT2B10	0	171	171	171
UGT2B11	0	171	171	171
UGT2B15	0	171	171	171
UGT2B17	0	171	171	171
UGT2B28	0	171	171	171
UGT2B4	0	171	171	171
UGT2B7	0	171	171	171
USO1	0	171	171	171
UTP3	0	171	171	171
WDFY3	0	171	171	171
YTHDC1	0	171	171	171
MIR4635	163	0	163	163
NKD2	163	0	163	163
SLC12A7	163	0	163	163
SLC6A18	163	0	163	163
SLC6A19	163	0	163	163
TERT	163	0	163	163
ACAP3	0	162	162	162
ACOT7	0	162	162	162
ACTRT2	0	162	162	162
AGRN	0	162	162	162
AJAP1	0	162	162	162
ANKRD65	0	162	162	162
ARHGEF16	0	162	162	162
ATAD3A	0	162	162	162
ATAD3B	0	162	162	162
ATAD3C	0	162	162	162
AURKAIP1	0	162	162	162
B3GALT6	0	162	162	162
C1orf159	0	162	162	162
C1orf170	0	162	162	162
C1orf174	0	162	162	162
C1orf222	0	162	162	162
C1orf233	0	162	162	162
C1orf86	0	162	162	162
CALML6	0	162	162	162
CCDC27	0	162	162	162
CCNL2	0	162	162	162
CDK11A	0	162	162	162
CDK11B	0	162	162	162
CEP104	0	162	162	162
CHD5	0	162	162	162
CPSF3L	0	162	162	162
DDX11L1	0	162	162	162
DFFB	0	162	162	162
DNAJC11	0	162	162	162
DVL1	0	162	162	162
ESPN	0	162	162	162
FAM132A	0	162	162	162
FAM138A	0	162	162	162
FAM213B	0	162	162	162
FAM41C	0	162	162	162
FAM87B	0	162	162	162
GABRD	0	162	162	162
GLTPD1	0	162	162	162
GNB1	0	162	162	162
GPR153	0	162	162	162
HES2	0	162	162	162
HES3	0	162	162	162
HES4	0	162	162	162
HES5	0	162	162	162
ICMT	0	162	162	162
ISG15	0	162	162	162
KCNAB2	0	162	162	162
KLHL17	0	162	162	162
KLHL21	0	162	162	162
LINC00115	0	162	162	162
LINC00337	0	162	162	162
LINC00982	0	162	162	162
LRRC47	0	162	162	162
MEGF6	0	162	162	162
MIB2	0	162	162	162
MIR200A	0	162	162	162
MIR200B	0	162	162	162
MIR4252	0	162	162	162
MIR429	0	162	162	162
MIR4417	0	162	162	162
MIR4689	0	162	162	162
MIR551A	0	162	162	162
MMEL1	0	162	162	162
MMP23B	0	162	162	162
MORN1	0	162	162	162
MRPL20	0	162	162	162
MXRA8	0	162	162	162
NADK	0	162	162	162
NOC2L	0	162	162	162
NOL9	0	162	162	162
NPHP4	0	162	162	162
OR4F16	0	162	162	162
OR4F29	0	162	162	162
OR4F5	0	162	162	162
PANK4	0	162	162	162
PEX10	0	162	162	162
PHF13	0	162	162	162
PIH1	0	162	162	162
PLCH2	0	162	162	162
PLEKHG5	0	162	162	162
PLEKHN1	0	162	162	162
PRDM16	0	162	162	162
PRKCZ	0	162	162	162
PUSL1	0	162	162	162
RER1	0	162	162	162
RN7SL574P	0	162	162	162
RN7SL657P	0	162	162	162
RNA5SP431	0	162	162	162
RNF207	0	162	162	162
RNF223	0	162	162	162
RPL22	0	162	162	162
SAMD11	0	162	162	162
SCNN1D	0	162	162	162
SDF4	0	162	162	162
SKI	0	162	162	162
SLC35E2	0	162	162	162
SLC35E2B	0	162	162	162
SMIM1	0	162	162	162
SSU72	0	162	162	162
TAS1R1	0	162	162	162
TAS1R3	0	162	162	162
THAP3	0	162	162	162
TMEM240	0	162	162	162
TMEM52	0	162	162	162
TMEM88B	0	162	162	162
TNFRSF14	0	162	162	162
TNFRSF18	0	162	162	162
TNFRSF25	0	162	162	162
TNFRSF4	0	162	162	162
TP73	0	162	162	162
TPRG1L	0	162	162	162
TTC34	0	162	162	162
TTLL10	0	162	162	162
UBE2J2	0	162	162	162
VWA1	0	162	162	162
WRAP73	0	162	162	162
WWOX	0	162	162	162
ZBTB48	0	162	162	162
ADTRP	159	0	159	159
BLOC1S5	159	0	159	159
BMP6	159	0	159	159
BPHL	159	0	159	159
C6ORF50	159	0	159	159
C6orf195	159	0	159	159
C6orf201	159	0	159	159
C6orf52	159	0	159	159
CAGE1	159	0	159	159
CD83	159	0	159	159
CDYL	159	0	159	159
DSP	159	0	159	159
DUSP22	159	0	159	159
ECI2	159	0	159	159
EDN1	159	0	159	159
EEF1E1	159	0	159	159
ELOVL2	159	0	159	159
EXOC2	159	0	159	159
F13A1	159	0	159	159
FAM217A	159	0	159	159
FAM50B	159	0	159	159
FARS2	159	0	159	159
FOXC1	159	0	159	159
